rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.20944/preprints202601.0682.v1,PI-VLA: A Symmetry-Aware Predictive and Interactive Vision--Language--Action Framework for Robust Robotic Manipulation,,,https://doi.org/10.20944/preprints202601.0682.v1,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.3390/sym18030394,PI-VLA: Adaptive Symmetry-Aware Decision-Making for Long-Horizon Vision–Language–Action Manipulation,2026,Symmetry,https://doi.org/10.3390/sym18030394,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
3,arxiv:2411.11844v3,Generative World Explorer,2024,arXiv,http://arxiv.org/abs/2411.11844v3,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.1126/scirobotics.adp0751,Development of compositionality through interactive learning of language and action of robots,2025,Science Robotics,https://doi.org/10.1126/scirobotics.adp0751,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
5,arxiv:2605.08567v2,ACWM-Phys: Investigating Generalized Physical Interaction in Action-Conditioned Video World Models,2026,arXiv,http://arxiv.org/abs/2605.08567v2,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1002/lrh2.10293,Developing real‐world evidence from real‐world data: Transforming raw data into analytical datasets,2022,Learning Health Systems,https://doi.org/10.1002/lrh2.10293,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
7,arxiv:2601.07821v1,Failure-Aware RL: Reliable Offline-to-Online Reinforcement Learning with Self-Recovery for Real-World Manipulation,2026,arXiv,http://arxiv.org/abs/2601.07821v1,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2606.02562v1,Permissive Safety Through Trusted Inference: Verifiable Belief-Space Neural Safety Filters for Assured Interactive Robotics,2026,arXiv,http://arxiv.org/abs/2606.02562v1,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.3390/polym12122813,Mode-Independent and Mode-Interactive Failure Criteria for Unidirectional Composites Based on Strain Energy Density,2020,Polymers,https://doi.org/10.3390/polym12122813,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2601.21282v1,WorldBench: Disambiguating Physics for Diagnostic Evaluation of World Models,2026,arXiv,http://arxiv.org/abs/2601.21282v1,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
11,arxiv:2301.05169v2,Causal Triplet: An Open Challenge for Intervention-centric Causal Representation Learning,2023,arXiv,http://arxiv.org/abs/2301.05169v2,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
12,arxiv:2604.21741v2,Hi-WM: Human-in-the-World-Model for Scalable Robot Post-Training,2026,arXiv,http://arxiv.org/abs/2604.21741v2,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.1609/aaai.v39i27.35109,From Large Language Models to Large Action Models: Reasoning and Planning with Physical World Knowledge,2025,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v39i27.35109,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.3390/nu17203223,Application of Artificial Intelligence Technologies as an Intervention for Promoting Healthy Eating and Nutrition in Older Adults: A Systematic Literature Review,2025,Nutrients,https://doi.org/10.3390/nu17203223,Addresses interactive world models or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Robotic belief revision under intervention keeps action-critical alternatives explicit until a physical observation collapses them.
