axis,level,method,success,ci95_success,utility,ci95_utility,false_revision,ci95_false_revision,missed_violation,ci95_missed_violation,n
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,0.618210,0.001148,0.500798,0.001420,0.136186,0.000632,0.231527,0.000632,960
actuator_mismatch,0.000000,human_intervention_revision,0.434969,0.001164,-0.273688,0.001422,0.365968,0.000636,0.445155,0.000589,960
actuator_mismatch,0.000000,proposed_intervention_violation_revision_v4_1,0.546878,0.001092,0.110131,0.001314,0.275921,0.000633,0.340012,0.000680,960
actuator_mismatch,0.000000,scalar_uncertainty_trigger,0.330036,0.001147,-0.669913,0.001396,0.471689,0.000632,0.582136,0.000601,960
actuator_mismatch,0.166667,causal_intervention_belief_revision_v5,0.616543,0.001148,0.498798,0.001420,0.137853,0.000632,0.232694,0.000632,960
actuator_mismatch,0.166667,human_intervention_revision,0.428635,0.001164,-0.281288,0.001422,0.372301,0.000636,0.449588,0.000589,960
actuator_mismatch,0.166667,proposed_intervention_violation_revision_v4_1,0.542462,0.001092,0.104831,0.001314,0.280338,0.000633,0.343104,0.000680,960
actuator_mismatch,0.166667,scalar_uncertainty_trigger,0.321736,0.001147,-0.679873,0.001396,0.479989,0.000632,0.587946,0.000601,960
actuator_mismatch,0.333333,causal_intervention_belief_revision_v5,0.614877,0.001148,0.496798,0.001420,0.139520,0.000632,0.233860,0.000632,960
actuator_mismatch,0.333333,human_intervention_revision,0.422302,0.001164,-0.288888,0.001422,0.378634,0.000636,0.454021,0.000589,960
actuator_mismatch,0.333333,proposed_intervention_violation_revision_v4_1,0.538045,0.001092,0.099531,0.001314,0.284754,0.000633,0.346195,0.000680,960
actuator_mismatch,0.333333,scalar_uncertainty_trigger,0.313436,0.001147,-0.689833,0.001396,0.488289,0.000632,0.593756,0.000601,960
actuator_mismatch,0.500000,causal_intervention_belief_revision_v5,0.613210,0.001148,0.494798,0.001420,0.141186,0.000632,0.235027,0.000632,960
actuator_mismatch,0.500000,human_intervention_revision,0.415969,0.001164,-0.296488,0.001422,0.384968,0.000636,0.458455,0.000589,960
actuator_mismatch,0.500000,proposed_intervention_violation_revision_v4_1,0.533628,0.001092,0.094231,0.001314,0.289171,0.000633,0.349287,0.000680,960
actuator_mismatch,0.500000,scalar_uncertainty_trigger,0.305136,0.001147,-0.699793,0.001396,0.496589,0.000632,0.599566,0.000601,960
actuator_mismatch,0.666667,causal_intervention_belief_revision_v5,0.611543,0.001148,0.492798,0.001420,0.142853,0.000632,0.236194,0.000632,960
actuator_mismatch,0.666667,human_intervention_revision,0.409635,0.001164,-0.304088,0.001422,0.391301,0.000636,0.462888,0.000589,960
actuator_mismatch,0.666667,proposed_intervention_violation_revision_v4_1,0.529212,0.001092,0.088931,0.001314,0.293588,0.000633,0.352379,0.000680,960
actuator_mismatch,0.666667,scalar_uncertainty_trigger,0.296836,0.001147,-0.709753,0.001396,0.504889,0.000632,0.605376,0.000601,960
actuator_mismatch,0.833333,causal_intervention_belief_revision_v5,0.609877,0.001148,0.490798,0.001420,0.144520,0.000632,0.237360,0.000632,960
actuator_mismatch,0.833333,human_intervention_revision,0.403302,0.001164,-0.311688,0.001422,0.397634,0.000636,0.467321,0.000589,960
actuator_mismatch,0.833333,proposed_intervention_violation_revision_v4_1,0.524795,0.001092,0.083631,0.001314,0.298004,0.000633,0.355470,0.000680,960
actuator_mismatch,0.833333,scalar_uncertainty_trigger,0.288536,0.001147,-0.719713,0.001396,0.513189,0.000632,0.611186,0.000601,960
actuator_mismatch,1.000000,causal_intervention_belief_revision_v5,0.601154,0.001148,0.462509,0.001420,0.146186,0.000632,0.255327,0.000632,960
actuator_mismatch,1.000000,human_intervention_revision,0.389913,0.001164,-0.345551,0.001422,0.403968,0.000636,0.488555,0.000589,960
actuator_mismatch,1.000000,proposed_intervention_violation_revision_v4_1,0.513322,0.001092,0.052071,0.001314,0.302421,0.000633,0.375362,0.000680,960
actuator_mismatch,1.000000,scalar_uncertainty_trigger,0.273180,0.001147,-0.756117,0.001396,0.521489,0.000632,0.633796,0.000601,960
hidden_rule_drift,0.000000,causal_intervention_belief_revision_v5,0.618210,0.001148,0.500798,0.001420,0.136186,0.000632,0.231527,0.000632,960
hidden_rule_drift,0.000000,human_intervention_revision,0.434969,0.001164,-0.273688,0.001422,0.365968,0.000636,0.445155,0.000589,960
hidden_rule_drift,0.000000,proposed_intervention_violation_revision_v4_1,0.546878,0.001092,0.110131,0.001314,0.275921,0.000633,0.340012,0.000680,960
hidden_rule_drift,0.000000,scalar_uncertainty_trigger,0.330036,0.001147,-0.669913,0.001396,0.471689,0.000632,0.582136,0.000601,960
hidden_rule_drift,0.166667,causal_intervention_belief_revision_v5,0.616543,0.001148,0.498798,0.001420,0.137853,0.000632,0.232694,0.000632,960
hidden_rule_drift,0.166667,human_intervention_revision,0.428635,0.001164,-0.281288,0.001422,0.372301,0.000636,0.449588,0.000589,960
hidden_rule_drift,0.166667,proposed_intervention_violation_revision_v4_1,0.542462,0.001092,0.104831,0.001314,0.280338,0.000633,0.343104,0.000680,960
