method,success,ci95_success,utility,ci95_utility,false_revision,ci95_false_revision,missed_violation,ci95_missed_violation,belief_consistency,ci95_belief_consistency,recovery_success,ci95_recovery_success,damage_rate,ci95_damage_rate,intervention_cost,ci95_intervention_cost,revision_calibration_error,ci95_revision_calibration_error,unsafe_revision,ci95_unsafe_revision,causal_attribution_f1,ci95_causal_attribution_f1,n
active_inference_query_policy,0.564234,0.000876,0.179069,0.003052,0.215415,0.001306,0.324975,0.001185,0.527540,0.000893,0.469081,0.000736,0.182016,0.000490,0.337763,0.000737,0.068215,0.000146,0.140695,0.000545,0.489565,0.000672,11520
causal_discovery_revision,0.601362,0.000883,0.373583,0.003060,0.148478,0.001303,0.258463,0.001184,0.620918,0.000896,0.536169,0.000736,0.164874,0.000493,0.352590,0.000735,0.067377,0.000138,0.104463,0.000545,0.579833,0.000670,11520
causal_intervention_belief_revision_v5,0.739175,0.000878,0.907176,0.002707,0.022329,0.000808,0.098512,0.001104,0.817979,0.000896,0.737889,0.000738,0.111084,0.000493,0.282933,0.000735,0.053970,0.000098,0.006574,0.000277,0.740353,0.000672,11520
conformal_intervention_filter,0.512501,0.000882,0.035757,0.003061,0.236580,0.001302,0.367223,0.001185,0.471212,0.000896,0.389913,0.000736,0.185293,0.000493,0.375783,0.000736,0.062730,0.000136,0.146403,0.000546,0.435202,0.000673,11520
ensemble_disagreement_revision,0.487441,0.000882,-0.083625,0.003065,0.276853,0.001303,0.402749,0.001185,0.432499,0.000896,0.369454,0.000736,0.205040,0.000493,0.371386,0.000735,0.067099,0.000136,0.180691,0.000545,0.406767,0.000672,11520
human_intervention_revision,0.554301,0.000879,0.169580,0.003053,0.210180,0.001299,0.308838,0.001185,0.548743,0.000891,0.460902,0.000735,0.181544,0.000493,0.406919,0.000734,0.069711,0.000151,0.146629,0.000545,0.518038,0.000668,11520
no_revision_belief,0.344497,0.000882,-0.510325,0.003081,0.379334,0.001303,0.533469,0.001186,0.271669,0.000893,0.246688,0.000733,0.245069,0.000489,0.326926,0.000736,0.094808,0.000184,0.252415,0.000545,0.276335,0.000668,11520
oracle_physical_belief_revision,0.832650,0.000885,1.090933,0.002349,0.009819,0.000433,0.054416,0.000925,0.885421,0.000895,0.801841,0.000734,0.096651,0.000491,0.271013,0.000737,0.044083,0.000084,0.000524,0.000044,0.792973,0.000670,11520
periodic_bayes_update,0.418740,0.000882,-0.311536,0.003078,0.337880,0.001305,0.472449,0.001183,0.346170,0.000900,0.304220,0.000740,0.227876,0.000490,0.353754,0.000733,0.077747,0.000132,0.223026,0.000543,0.335565,0.000669,11520
pomdp_belief_update,0.536327,0.000879,0.113359,0.003052,0.229878,0.001301,0.337542,0.001183,0.523073,0.000897,0.446093,0.000735,0.186843,0.000493,0.362183,0.000736,0.064588,0.000143,0.151553,0.000544,0.481484,0.000671,11520
proposed_intervention_violation_revision_v4_1,0.667135,0.000880,0.554958,0.003058,0.118989,0.001302,0.204381,0.001186,0.689639,0.000895,0.616014,0.000736,0.153808,0.000493,0.331007,0.000734,0.068923,0.000133,0.085377,0.000544,0.634155,0.000672,11520
scalar_uncertainty_trigger,0.448703,0.000884,-0.225055,0.003072,0.315715,0.001301,0.446508,0.001185,0.376467,0.000895,0.323849,0.000734,0.218654,0.000492,0.367435,0.000735,0.070457,0.000109,0.207301,0.000544,0.360374,0.000672,11520
