method,success,ci95_success,utility,ci95_utility,false_revision,ci95_false_revision,missed_violation,ci95_missed_violation,belief_consistency,ci95_belief_consistency,recovery_success,ci95_recovery_success,damage_rate,ci95_damage_rate,intervention_cost,ci95_intervention_cost,revision_calibration_error,ci95_revision_calibration_error,unsafe_revision,ci95_unsafe_revision,causal_attribution_f1,ci95_causal_attribution_f1,n
active_inference_query_policy,0.598407,0.000899,0.305360,0.003213,0.187789,0.001058,0.268660,0.001337,0.546293,0.000733,0.498692,0.000787,0.165591,0.000487,0.315209,0.000759,0.070641,0.000121,0.123913,0.000500,0.499411,0.000538,19200
causal_discovery_revision,0.635468,0.000901,0.499430,0.003203,0.121065,0.001053,0.202534,0.001324,0.639594,0.000734,0.565881,0.000786,0.148424,0.000488,0.330073,0.000757,0.069639,0.000113,0.087700,0.000500,0.589557,0.000536,19200
causal_intervention_belief_revision_v5,0.773248,0.000899,1.000506,0.002470,0.015247,0.000526,0.062492,0.000926,0.836681,0.000734,0.767462,0.000785,0.094591,0.000488,0.260391,0.000759,0.055530,0.000080,0.004343,0.000175,0.750123,0.000538,19200
conformal_intervention_filter,0.546582,0.000899,0.162139,0.003215,0.208830,0.001058,0.310795,0.001338,0.489849,0.000732,0.419507,0.000785,0.168802,0.000488,0.353243,0.000759,0.065048,0.000113,0.129628,0.000501,0.444982,0.000539,19200
ensemble_disagreement_revision,0.521490,0.000900,0.042579,0.003215,0.249131,0.001058,0.346412,0.001336,0.451201,0.000734,0.398932,0.000784,0.188582,0.000488,0.348864,0.000758,0.069499,0.000119,0.163969,0.000500,0.416660,0.000538,19200
human_intervention_revision,0.588327,0.000898,0.295808,0.003212,0.182418,0.001057,0.252540,0.001337,0.567608,0.000732,0.490469,0.000785,0.165097,0.000488,0.384389,0.000758,0.072160,0.000125,0.129861,0.000501,0.527807,0.000536,19200
no_revision_belief,0.378806,0.000902,-0.382746,0.003242,0.351517,0.001059,0.477200,0.001336,0.290457,0.000732,0.276262,0.000784,0.228579,0.000487,0.304418,0.000759,0.092108,0.000142,0.235597,0.000501,0.286123,0.000537,19200
oracle_physical_belief_revision,0.866168,0.000879,1.169606,0.002088,0.006303,0.000270,0.033131,0.000668,0.904132,0.000730,0.831526,0.000786,0.080241,0.000485,0.248497,0.000759,0.045409,0.000069,0.000314,0.000027,0.802877,0.000538,19200
periodic_bayes_update,0.452947,0.000901,-0.184380,0.003233,0.310070,0.001060,0.416104,0.001336,0.365015,0.000735,0.334012,0.000788,0.211394,0.000487,0.331273,0.000757,0.077131,0.000098,0.206212,0.000500,0.345315,0.000537,19200
pomdp_belief_update,0.570489,0.000900,0.239714,0.003214,0.202127,0.001059,0.281255,0.001336,0.541861,0.000734,0.475725,0.000785,0.170410,0.000487,0.339669,0.000758,0.066954,0.000118,0.134779,0.000500,0.491334,0.000537,19200
proposed_intervention_violation_revision_v4_1,0.701209,0.000899,0.678569,0.003141,0.092895,0.001024,0.150427,0.001273,0.708355,0.000733,0.645628,0.000785,0.137358,0.000488,0.308430,0.000758,0.071142,0.000111,0.068627,0.000499,0.643753,0.000536,19200
scalar_uncertainty_trigger,0.482650,0.000900,-0.098677,0.003220,0.287921,0.001058,0.390238,0.001336,0.395232,0.000734,0.353442,0.000784,0.202213,0.000487,0.344903,0.000758,0.071570,0.000095,0.190584,0.000499,0.370190,0.000539,19200
