axis,level,method,seed,success,ci95_success,utility,ci95_utility,false_revision,ci95_false_revision,missed_violation,ci95_missed_violation,n
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,0,0.621775,0.003169,0.502426,0.004658,0.136349,0.001925,0.232625,0.001739,96
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,1,0.618404,0.003157,0.501416,0.003904,0.136394,0.002027,0.231835,0.002133,96
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,2,0.616516,0.003600,0.500069,0.004522,0.137605,0.001840,0.231237,0.002524,96
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,3,0.614429,0.004828,0.495769,0.006269,0.137887,0.002259,0.230868,0.001865,96
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,4,0.619398,0.003066,0.502077,0.003453,0.133099,0.001737,0.233253,0.001651,96
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,5,0.616356,0.004226,0.498813,0.005157,0.134737,0.001783,0.232428,0.002122,96
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,6,0.615655,0.003699,0.500375,0.004471,0.134306,0.002031,0.230882,0.001899,96
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,7,0.615734,0.003456,0.499221,0.003677,0.135898,0.001694,0.232666,0.001766,96
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,8,0.622833,0.003497,0.507690,0.004590,0.133514,0.002271,0.229415,0.002024,96
actuator_mismatch,0.000000,causal_intervention_belief_revision_v5,9,0.620997,0.002922,0.500123,0.003218,0.142073,0.001762,0.230062,0.002071,96
actuator_mismatch,0.000000,human_intervention_revision,0,0.444561,0.003768,-0.265557,0.005050,0.367802,0.002236,0.443982,0.001777,96
actuator_mismatch,0.000000,human_intervention_revision,1,0.432423,0.003554,-0.277154,0.004395,0.366231,0.002306,0.446812,0.001599,96
actuator_mismatch,0.000000,human_intervention_revision,2,0.434257,0.003049,-0.274970,0.004321,0.366059,0.002019,0.444684,0.001593,96
actuator_mismatch,0.000000,human_intervention_revision,3,0.435690,0.003461,-0.271708,0.004161,0.367393,0.001501,0.441557,0.001860,96
actuator_mismatch,0.000000,human_intervention_revision,4,0.432423,0.004162,-0.276254,0.004606,0.365421,0.002159,0.446801,0.001710,96
actuator_mismatch,0.000000,human_intervention_revision,5,0.432479,0.003583,-0.278465,0.004655,0.367713,0.001849,0.444207,0.002360,96
actuator_mismatch,0.000000,human_intervention_revision,6,0.432355,0.003355,-0.272368,0.003736,0.364209,0.002087,0.443941,0.001582,96
actuator_mismatch,0.000000,human_intervention_revision,7,0.434115,0.004008,-0.271255,0.004851,0.361403,0.001964,0.446731,0.002209,96
actuator_mismatch,0.000000,human_intervention_revision,8,0.436922,0.002658,-0.274848,0.003312,0.368452,0.001503,0.447623,0.001555,96
actuator_mismatch,0.000000,human_intervention_revision,9,0.434461,0.004384,-0.274306,0.005190,0.364995,0.002005,0.445209,0.001931,96
actuator_mismatch,0.000000,proposed_intervention_violation_revision_v4_1,0,0.552181,0.003538,0.113785,0.003686,0.276628,0.002010,0.339159,0.001948,96
actuator_mismatch,0.000000,proposed_intervention_violation_revision_v4_1,1,0.551667,0.003379,0.117227,0.003981,0.274364,0.001737,0.341182,0.002463,96
actuator_mismatch,0.000000,proposed_intervention_violation_revision_v4_1,2,0.542815,0.003386,0.109804,0.004161,0.276581,0.002046,0.337624,0.001892,96
